Keyword,Angle,Location,Language,Jan-2024,Feb-2024,Mar-2024,Apr-2024,May-2024,Jun-2024,Jul-2024,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025,Competition
vaytiennhanh homecredit,Competitor_HomeCredit,Vietnam,VI,260,110,170,210,210,210,210,260,320,480,320,260,210,170,260,260,210,260,320,260,260,260,320,390,LOW(25)
vay tiêu dùng home credit,Competitor_HomeCredit,Vietnam,VI,590,210,320,210,260,260,260,320,260,260,320,260,210,170,210,140,170,210,170,170,170,210,170,170,MEDIUM(61)
home credit vay tiền,Competitor_HomeCredit,Vietnam,VI,260,110,320,390,320,210,210,260,260,260,260,260,210,70,140,170,170,210,260,170,210,90,50,70,MEDIUM(39)
lãi suất vay home credit,Competitor_HomeCredit,Vietnam,VI,320,170,210,210,210,170,210,210,210,210,260,210,210,210,210,170,170,170,140,140,140,170,170,170,MEDIUM(37)
vay tiền home,Competitor_HomeCredit,Vietnam,VI,320,140,260,260,320,210,170,210,170,210,260,260,210,140,170,170,140,210,210,140,140,140,90,110,MEDIUM(66)
vay tiền home credit online,Competitor_HomeCredit,Vietnam,VI,880,320,590,590,260,140,110,110,90,30,30,20,110,10,20,110,20,50,20,320,390,140,110,110,MEDIUM(63)
ngan hang homecredit,Competitor_HomeCredit,Vietnam,VI,70,90,210,70,90,210,260,260,260,260,320,320,210,170,210,140,170,140,140,110,140,170,170,140,MEDIUM(38)
cách vay home credit,Competitor_HomeCredit,Vietnam,VI,260,140,210,210,210,210,170,170,140,170,170,170,170,140,210,110,110,140,170,210,210,170,210,210,MEDIUM(58)
đăng ký vay home credit,Competitor_HomeCredit,Vietnam,VI,390,140,170,210,170,210,210,210,170,260,210,260,210,110,170,140,170,110,140,110,110,140,110,140,MEDIUM(66)
ngân hàng home,Competitor_HomeCredit,Vietnam,VI,170,110,140,170,210,210,170,170,140,210,210,210,110,140,140,110,140,170,170,170,170,140,140,170,LOW(28)
mi home app,Competitor_HomeCredit,Vietnam,VI,90,90,90,140,140,140,140,170,170,170,210,140,170,260,210,140,170,170,170,140,110,170,170,140,LOW(1)
vay online home credit,Competitor_HomeCredit,Vietnam,VI,320,170,260,210,210,210,170,210,170,210,170,210,140,90,110,90,90,90,110,90,70,110,110,90,MEDIUM(66)
vay tín chấp homecredit,Competitor_HomeCredit,Vietnam,VI,390,170,260,260,170,170,210,210,140,140,140,140,70,40,110,90,110,140,90,90,110,90,90,70,MEDIUM(67)
cách vay tiền home credit,Competitor_HomeCredit,Vietnam,VI,170,140,140,140,170,170,210,210,170,210,170,110,90,90,110,110,140,90,90,140,110,110,90,140,MEDIUM(65)
home credit vay tiền mặt,Competitor_HomeCredit,Vietnam,VI,260,170,210,170,260,260,210,140,140,140,170,110,70,70,50,110,70,50,70,90,70,90,70,260,MEDIUM(46)
vay home credit online,Competitor_HomeCredit,Vietnam,VI,210,70,140,170,210,210,110,210,170,90,70,110,70,40,110,40,40,40,50,40,260,590,70,110,MEDIUM(66)
app vay tiền home credit,Competitor_HomeCredit,Vietnam,VI,390,260,260,260,320,210,140,140,170,170,140,90,50,40,30,30,20,20,40,40,30,40,30,40,HIGH(67)
vay vốn home credit,Competitor_HomeCredit,Vietnam,VI,260,90,170,170,140,140,140,140,140,170,110,110,70,70,70,70,70,70,90,40,70,50,40,50,MEDIUM(35)
vay trả góp home credit,Competitor_HomeCredit,Vietnam,VI,170,90,110,110,140,140,140,140,140,110,110,140,110,70,110,90,90,70,70,70,70,70,90,70,MEDIUM(63)
vay tín dụng home credit,Competitor_HomeCredit,Vietnam,VI,170,70,140,140,170,110,110,110,110,140,140,140,70,70,70,70,50,70,70,70,110,90,90,70,MEDIUM(58)
vicohome,Competitor_HomeCredit,Vietnam,VI,140,170,210,210,170,140,90,110,90,110,90,110,50,110,70,70,70,50,50,70,50,110,50,40,LOW(16)
vay tiền mặt home,Competitor_HomeCredit,Vietnam,VI,210,50,70,70,90,50,110,90,110,110,90,50,70,50,90,90,70,170,140,140,90,90,70,70,MEDIUM(60)
vay tiền online home credit,Competitor_HomeCredit,Vietnam,VI,210,70,90,110,140,110,110,90,110,110,90,110,90,70,110,70,70,50,70,70,40,70,40,40,HIGH(74)
vay tiền home credit online có an toàn không,Competitor_HomeCredit,Vietnam,VI,210,70,90,90,90,170,90,70,70,70,70,170,90,70,90,70,50,50,50,40,70,110,90,70,LOW(25)
dịch vụ f88,Competitor_HomeCredit,Vietnam,VI,260,110,110,50,70,50,70,390,140,40,50,90,50,70,70,70,50,20,20,30,10,20,20,10,MEDIUM(54)
thủ tục vay home credit,Competitor_HomeCredit,Vietnam,VI,140,50,110,110,90,70,70,90,70,90,90,90,70,40,90,50,50,90,70,50,50,50,50,50,MEDIUM(51)
website home credit,Competitor_HomeCredit,Vietnam,VI,90,50,90,90,70,90,90,90,70,90,140,70,40,40,40,50,40,40,50,50,70,70,70,90,MEDIUM(34)
vay ngân hàng home credit,Competitor_HomeCredit,Vietnam,VI,90,40,90,70,90,70,110,70,70,90,70,110,50,50,90,70,50,50,70,50,70,40,50,50,MEDIUM(57)
fe home credit,Competitor_HomeCredit,Vietnam,VI,90,50,70,50,70,70,70,70,90,50,50,40,70,50,90,50,90,70,70,70,70,40,50,40,MEDIUM(56)
vay tiền bên home credit,Competitor_HomeCredit,Vietnam,VI,140,70,110,70,70,70,70,70,50,50,70,70,70,50,90,40,40,70,40,50,30,30,30,40,MEDIUM(66)
magic home,Competitor_HomeCredit,Vietnam,VI,50,70,90,110,70,90,50,50,70,70,50,70,50,50,50,40,50,40,90,50,40,50,50,70,MEDIUM(36)
vay tien nhanh home credit,Competitor_HomeCredit,Vietnam,VI,90,30,40,10,110,30,20,10,70,90,110,140,90,50,70,70,90,50,20,20,50,50,50,90,LOW(16)
homecredit vay tiền,Competitor_HomeCredit,Vietnam,VI,90,10,20,20,10,30,30,20,50,110,70,140,110,70,30,20,10,20,90,170,50,110,140,30,HIGH(73)
home vay,Competitor_HomeCredit,Vietnam,VI,70,70,70,70,40,70,30,30,20,40,40,70,50,30,50,40,40,70,70,90,90,70,90,110,MEDIUM(61)
tông đai home credit,Competitor_HomeCredit,Vietnam,VI,110,70,110,110,140,110,90,20,40,40,30,90,30,30,30,30,30,30,30,20,20,30,20,30,LOW(23)
vay tiền qua home credit,Competitor_HomeCredit,Vietnam,VI,110,70,70,90,70,70,70,70,70,70,50,50,30,40,40,50,50,30,50,40,30,20,30,20,HIGH(72)
vay tiền nhanh home,Competitor_HomeCredit,Vietnam,VI,50,40,50,30,40,50,90,90,70,110,140,110,90,50,30,30,20,10,30,20,20,20,40,50,MEDIUM(37)
home credit vay tiêu dùng,Competitor_HomeCredit,Vietnam,VI,140,70,90,90,70,70,30,30,30,30,40,70,40,50,50,30,40,40,70,30,40,40,40,30,MEDIUM(58)
vay tien homecredit lai suat bao nhieu,Competitor_HomeCredit,Vietnam,VI,110,30,110,90,70,20,20,90,90,70,70,50,30,10,20,30,20,40,50,10,10,10,10,40,MEDIUM(61)
ewelink app,Competitor_HomeCredit,Vietnam,VI,50,20,30,70,30,70,50,50,50,70,40,50,50,40,40,50,30,40,40,40,20,30,30,30,MEDIUM(48)
vay tiền home credit voz,Competitor_HomeCredit,Vietnam,VI,10,50,0,50,170,70,50,70,70,40,30,20,50,50,50,30,40,50,50,20,10,20,0,10,LOW(7)
home connect bosch,Competitor_HomeCredit,Vietnam,VI,50,50,70,40,30,30,40,20,50,30,50,50,50,70,30,20,30,40,50,40,30,50,40,30,LOW(18)
app smart home,Competitor_HomeCredit,Vietnam,VI,110,50,30,50,50,30,40,50,30,30,50,20,20,30,40,40,40,30,30,30,40,20,40,90,LOW(1)
homecontrol,Competitor_HomeCredit,Vietnam,VI,70,50,40,30,40,40,40,40,50,30,30,50,50,40,40,30,20,40,20,40,40,30,40,50,LOW(21)
ipc360 home,Competitor_HomeCredit,Vietnam,VI,90,90,110,110,90,70,40,20,40,30,20,30,10,20,40,20,10,10,10,20,20,10,10,10,HIGH(67)
vay tiền ngân hàng home credit,Competitor_HomeCredit,Vietnam,VI,90,30,70,30,50,50,40,40,40,50,50,40,30,20,30,30,20,20,20,40,10,20,10,10,MEDIUM(56)
home credit vay online,Competitor_HomeCredit,Vietnam,VI,70,10,30,30,30,40,40,40,70,50,40,30,20,30,20,20,50,30,20,30,30,50,20,30,HIGH(67)
vay tin home credit,Competitor_HomeCredit,Vietnam,VI,50,40,50,50,40,50,30,30,40,40,40,40,20,20,20,20,20,20,20,20,30,50,20,20,LOW(0)
vay vốn sinh viên home credit,Competitor_HomeCredit,Vietnam,VI,110,70,70,50,50,40,50,40,40,30,20,20,10,20,10,10,10,10,10,10,10,10,10,10,MEDIUM(43)
sonoff app,Competitor_HomeCredit,Vietnam,VI,30,50,20,40,40,20,30,30,20,20,30,20,30,10,30,30,20,30,20,30,10,10,10,20,MEDIUM(59)
đăng ký vay tiền home credit,Competitor_HomeCredit,Vietnam,VI,70,30,50,70,30,50,20,30,20,30,20,30,10,10,10,10,10,10,10,10,10,20,10,10,MEDIUM(57)
ewelink smart home,Competitor_HomeCredit,Vietnam,VI,70,40,40,50,10,20,20,30,10,10,20,10,30,20,20,10,20,10,10,10,10,10,30,10,HIGH(100)
sha vay,Competitor_HomeCredit,Vietnam,VI,40,20,30,30,10,10,30,20,10,30,20,20,20,20,30,20,20,20,20,30,10,20,20,10,LOW(30)
h5 lala,Competitor_HomeCredit,Vietnam,VI,30,50,20,10,20,10,10,10,10,20,20,10,10,10,10,10,20,10,10,10,10,10,10,10,LOW(29)
vay nhanh uy tín home credit,Competitor_HomeCredit,Vietnam,VI,40,20,10,20,30,20,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,LOW(0)
magic home pro,Competitor_HomeCredit,Vietnam,VI,20,20,10,10,20,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,HIGH(80)
hcpay,Competitor_HomeCredit,Vietnam,VI,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,UNSPECIFIED
mergedom,Competitor_HomeCredit,Vietnam,VI,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,20,10,10,10,10,10,LOW(0)
kinh nghiệm vay tiền homecredit,Competitor_HomeCredit,Vietnam,VI,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,UNSPECIFIED
mi home xiaomi home app,Competitor_HomeCredit,Vietnam,VI,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,LOW(0)
mergedom home design,Competitor_HomeCredit,Vietnam,VI,10,10,10,10,10,0,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,UNSPECIFIED
vay tien măt homecredit,Competitor_HomeCredit,Vietnam,VI,40,20,10,10,10,0,10,0,10,10,10,10,10,0,10,0,0,10,0,0,10,10,0,0,UNSPECIFIED
vay home app,Competitor_HomeCredit,Vietnam,VI,30,10,10,10,20,10,10,10,0,10,0,0,10,10,0,0,10,0,10,0,10,0,0,10,HIGH(71)
homeexchange app,Competitor_HomeCredit,Vietnam,VI,10,10,0,10,0,10,10,10,10,0,0,0,10,10,10,10,0,10,0,10,10,10,10,10,MEDIUM(57)
vay tiêu dụng home credit,Competitor_HomeCredit,Vietnam,VI,0,0,0,10,0,10,10,0,0,0,10,10,20,10,0,0,0,10,0,0,0,10,0,0,UNSPECIFIED
app homescapes,Competitor_HomeCredit,Vietnam,VI,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,UNSPECIFIED
easee app,Competitor_HomeCredit,Vietnam,VI,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,UNSPECIFIED
descargar blink home monitor,Competitor_HomeCredit,Vietnam,VI,,,,,,,,,,,,,,,,,,,,,,,,,UNSPECIFIED
fe credit,Competitor_FECredit,Vietnam,VI,74000,49500,74000,60500,60500,60500,60500,74000,60500,60500,60500,60500,49500,49500,60500,49500,49500,49500,49500,49500,49500,49500,49500,49500,MEDIUM(42)
vay fe,Competitor_FECredit,Vietnam,VI,12100,6600,8100,8100,8100,9900,9900,8100,8100,8100,8100,8100,6600,6600,8100,6600,8100,6600,6600,6600,6600,6600,5400,5400,HIGH(77)
fe online,Competitor_FECredit,Vietnam,VI,14800,8100,9900,8100,9900,8100,8100,8100,4400,3600,2400,1900,1600,1300,1600,1600,1600,1600,1600,1600,1900,1900,1600,1600,LOW(31)
vay fe credit,Competitor_FECredit,Vietnam,VI,4400,2900,3600,3600,3600,4400,4400,3600,3600,3600,3600,3600,3600,2900,3600,3600,3600,3600,2900,3600,2900,2900,2900,2900,HIGH(70)
vay tiền fe,Competitor_FECredit,Vietnam,VI,3600,2400,2900,2900,2900,2900,2900,2900,2400,2400,2400,2400,1900,1600,1900,1600,1600,1600,1600,1300,1300,1300,1300,1300,HIGH(75)
ngân hàng fe,Competitor_FECredit,Vietnam,VI,2900,1600,2400,1900,1900,1900,2400,2400,1900,1900,1900,1900,1600,1300,1600,1300,1600,1300,1300,1300,1300,1300,1300,1000,LOW(21)
cách vay tiền fe credit online,Competitor_FECredit,Vietnam,VI,2400,1300,1600,1600,1600,1900,1600,1300,1300,1300,1000,1300,1000,880,1000,1000,1600,1000,880,1000,1000,880,880,880,HIGH(68)
công ty fe,Competitor_FECredit,Vietnam,VI,1000,720,1000,1000,1000,1000,1000,880,880,880,880,720,590,720,1000,720,880,880,1000,720,720,880,880,720,LOW(3)
vay credit,Competitor_FECredit,Vietnam,VI,1000,480,720,880,720,880,880,880,720,880,720,880,590,590,720,590,720,880,1000,1000,1000,1000,1000,880,MEDIUM(59)
vay fe online,Competitor_FECredit,Vietnam,VI,1600,1000,1000,880,1300,1300,1300,1300,880,880,880,720,720,720,880,590,480,480,480,390,320,390,390,320,HIGH(78)
lãi suất fe,Competitor_FECredit,Vietnam,VI,880,480,720,590,720,720,720,720,590,720,880,880,720,480,590,590,480,480,480,480,590,590,480,390,LOW(25)
khoản vay fe credit,Competitor_FECredit,Vietnam,VI,880,480,720,720,720,590,880,880,590,720,720,720,590,590,480,480,590,480,480,390,480,320,140,210,MEDIUM(40)
công ty tài chính fe,Competitor_FECredit,Vietnam,VI,880,480,880,590,590,720,720,590,590,590,590,590,390,390,480,390,390,480,480,480,390,390,320,320,LOW(12)
ngân hàng fe credit,Competitor_FECredit,Vietnam,VI,720,390,590,590,480,720,720,590,480,590,480,480,390,320,390,390,390,390,320,320,390,480,390,720,LOW(25)
vay tiền mặt fe credit,Competitor_FECredit,Vietnam,VI,1000,590,720,720,720,590,720,590,480,390,390,390,320,260,320,390,480,320,260,320,320,320,480,390,MEDIUM(64)
fe credit online,Competitor_FECredit,Vietnam,VI,590,480,880,590,390,590,590,720,720,590,480,390,390,390,260,320,320,210,210,260,390,390,390,320,MEDIUM(57)
vay tiền fe credit,Competitor_FECredit,Vietnam,VI,880,390,590,390,390,480,480,590,320,390,390,390,320,210,260,260,320,320,390,260,320,480,390,260,HIGH(73)
điều kiện vay fe,Competitor_FECredit,Vietnam,VI,590,320,480,480,480,480,590,390,320,390,320,320,320,320,390,320,260,260,320,260,260,320,260,260,MEDIUM(41)
credit vay,Competitor_FECredit,Vietnam,VI,390,170,260,210,390,210,320,320,320,260,210,170,90,170,320,320,590,390,480,480,480,590,480,590,MEDIUM(54)
lãi suất fe credit,Competitor_FECredit,Vietnam,VI,590,390,390,320,390,390,390,390,320,390,320,320,260,260,390,320,320,260,210,260,210,260,210,210,LOW(30)
công ty fe credit,Competitor_FECredit,Vietnam,VI,320,210,320,320,320,390,320,320,320,320,390,320,210,320,320,320,320,320,390,320,390,320,320,320,LOW(3)
đăng ký vay fe,Competitor_FECredit,Vietnam,VI,480,210,260,260,320,320,320,390,260,320,320,390,260,260,260,210,320,260,260,260,210,260,260,260,HIGH(70)
the tín dụng fe credit trả góp,Competitor_FECredit,Vietnam,VI,390,260,480,320,320,320,390,320,390,320,260,320,260,170,210,210,260,170,320,210,170,170,110,110,LOW(29)
kinh nghiệm vay tiền fe credit,Competitor_FECredit,Vietnam,VI,720,320,480,480,480,480,390,320,320,260,260,320,260,170,170,170,170,140,90,70,110,90,50,70,LOW(19)
vay fe credit online,Competitor_FECredit,Vietnam,VI,480,140,260,320,480,480,320,260,140,210,320,210,170,110,110,140,210,210,210,210,210,170,170,170,HIGH(73)
ngan hang fe,Competitor_FECredit,Vietnam,VI,390,260,390,390,320,260,260,320,210,260,210,260,210,170,210,210,210,210,170,170,140,140,110,140,MEDIUM(34)
fe vay tiền,Competitor_FECredit,Vietnam,VI,390,210,260,260,320,260,260,320,210,210,140,210,210,170,260,210,210,210,170,260,170,170,170,170,HIGH(75)
app fe credit,Competitor_FECredit,Vietnam,VI,390,210,260,170,210,170,210,390,320,320,210,260,170,170,210,140,170,170,140,210,170,170,170,170,MEDIUM(38)
vay 10 triệu trả góp 12 tháng fe credit,Competitor_FECredit,Vietnam,VI,390,210,260,320,320,320,320,320,260,210,170,210,140,110,110,140,140,110,70,50,90,50,50,50,MEDIUM(52)
fe vay,Competitor_FECredit,Vietnam,VI,170,90,140,140,170,170,170,140,170,140,210,210,170,140,140,140,170,210,210,210,210,210,210,210,HIGH(70)
số fe credit,Competitor_FECredit,Vietnam,VI,140,90,140,110,110,140,210,210,170,170,170,140,90,140,210,210,210,210,210,170,110,140,170,210,LOW(9)
vay nhanh fe,Competitor_FECredit,Vietnam,VI,210,140,170,140,110,140,170,210,210,170,140,170,140,110,170,140,170,140,170,170,210,170,140,140,LOW(0)
cty tài chính fe,Competitor_FECredit,Vietnam,VI,260,140,260,210,210,210,170,210,170,140,140,170,90,110,110,110,110,110,170,140,140,90,110,110,LOW(21)
vay vốn fe,Competitor_FECredit,Vietnam,VI,260,170,170,210,260,170,210,170,170,210,170,140,90,110,140,140,140,90,70,110,90,70,70,90,MEDIUM(50)
tài chính fe,Competitor_FECredit,Vietnam,VI,260,110,170,140,210,140,170,170,210,140,210,210,110,110,140,140,90,140,110,110,90,90,70,110,MEDIUM(39)
vay tiêu dùng fe,Competitor_FECredit,Vietnam,VI,260,170,260,140,210,260,210,210,110,140,110,170,140,140,110,140,90,90,90,70,70,70,70,50,HIGH(72)
thủ tục vay fe,Competitor_FECredit,Vietnam,VI,260,170,170,170,210,210,210,140,140,170,140,140,110,90,90,140,90,110,90,50,90,90,70,90,MEDIUM(66)
vay online fe,Competitor_FECredit,Vietnam,VI,260,170,170,210,210,170,140,140,110,170,110,140,110,70,70,140,90,90,90,70,90,70,70,50,HIGH(80)
công ty tài chính điện lực easy credit,Competitor_FECredit,Vietnam,VI,590,210,210,110,110,140,110,140,140,90,90,70,70,70,70,50,50,70,70,90,70,70,40,40,LOW(11)
fe credit app,Competitor_FECredit,Vietnam,VI,70,40,50,90,90,50,50,210,140,110,170,90,40,90,210,170,110,140,210,140,110,110,90,70,MEDIUM(34)
vay tiền mặt fe,Competitor_FECredit,Vietnam,VI,140,50,140,170,110,110,140,140,140,140,110,110,90,90,70,90,90,110,110,90,110,70,90,90,MEDIUM(58)
vay ngân hàng fe,Competitor_FECredit,Vietnam,VI,170,90,140,110,140,140,140,140,110,110,140,90,90,50,70,90,90,90,90,70,70,50,50,50,HIGH(74)
ngan hang fecredit thinh vuong,Competitor_FECredit,Vietnam,VI,170,140,210,170,110,110,110,140,90,90,110,170,110,140,90,70,20,20,20,30,30,50,50,30,MEDIUM(40)
vay tín dụng fe,Competitor_FECredit,Vietnam,VI,170,90,110,140,110,140,140,170,90,70,90,110,70,50,50,90,70,70,70,70,70,70,70,70,MEDIUM(53)
vay tiền online fe,Competitor_FECredit,Vietnam,VI,90,50,50,70,140,70,90,90,90,90,90,90,90,70,70,40,90,50,50,90,90,170,260,170,HIGH(78)
số đt fe credit,Competitor_FECredit,Vietnam,VI,50,50,110,90,70,110,40,40,40,70,40,90,70,70,140,110,110,90,110,50,90,90,70,90,LOW(8)
vay tiền bên fe,Competitor_FECredit,Vietnam,VI,170,90,90,90,70,90,110,70,90,70,90,70,50,50,70,50,50,70,70,50,50,50,50,50,MEDIUM(57)
fe credit vay tiền,Competitor_FECredit,Vietnam,VI,210,90,170,70,70,210,90,70,70,50,110,70,40,30,30,20,20,50,50,40,40,50,20,40,MEDIUM(59)
vay trả góp fe,Competitor_FECredit,Vietnam,VI,110,90,110,70,70,70,70,70,70,50,70,50,50,40,70,50,70,70,70,50,50,50,50,40,MEDIUM(62)
vay không thế chấp fe credit,Competitor_FECredit,Vietnam,VI,70,50,70,90,90,90,70,90,90,70,70,50,30,50,70,50,70,70,50,50,40,30,70,30,MEDIUM(60)
vay tiền fe online,Competitor_FECredit,Vietnam,VI,210,90,90,110,110,90,70,50,40,40,30,40,50,40,30,20,30,30,30,30,30,20,70,30,HIGH(80)
cách vay fe online,Competitor_FECredit,Vietnam,VI,50,30,50,50,50,70,70,70,70,50,50,40,40,40,40,40,50,20,30,90,90,90,90,90,HIGH(69)
vay fe com,Competitor_FECredit,Vietnam,VI,20,10,20,20,70,40,40,40,50,110,170,260,260,10,10,0,10,0,0,10,0,0,10,10,MEDIUM(57)
vay tiền nhanh fe,Competitor_FECredit,Vietnam,VI,140,50,70,90,70,70,50,30,40,90,40,40,30,40,20,20,30,20,20,20,30,70,20,30,HIGH(78)
thủ tục vay fe credit,Competitor_FECredit,Vietnam,VI,50,30,50,70,30,50,30,40,40,50,40,30,30,30,50,70,70,40,40,40,40,30,50,50,MEDIUM(61)
fe vay online,Competitor_FECredit,Vietnam,VI,30,20,70,30,30,70,70,70,90,50,40,30,30,50,40,90,30,40,20,30,40,10,30,30,HIGH(80)
vay tiền ngân hàng fe,Competitor_FECredit,Vietnam,VI,70,50,40,30,50,90,70,40,30,30,40,40,30,20,30,50,40,30,40,30,20,30,20,20,MEDIUM(52)
đăng ký vay fe online,Competitor_FECredit,Vietnam,VI,90,30,70,70,70,30,50,30,20,20,20,30,40,30,30,20,40,40,20,50,30,20,20,30,MEDIUM(64)
vay tiền fe credit online,Competitor_FECredit,Vietnam,VI,40,20,20,30,40,40,50,10,20,40,110,20,140,10,10,10,170,40,10,10,20,10,10,10,MEDIUM(50)
mở the tín dụng fe,Competitor_FECredit,Vietnam,VI,140,40,10,10,20,50,90,90,0,70,70,50,50,20,10,10,20,10,10,10,10,30,40,30,HIGH(80)
fecredit com vn vay tiền mặt,Competitor_FECredit,Vietnam,VI,110,70,70,110,110,70,50,40,30,40,30,30,10,10,0,10,0,10,10,10,10,10,0,10,MEDIUM(36)
app vay tiền fe,Competitor_FECredit,Vietnam,VI,70,40,40,40,30,50,50,50,50,40,30,40,30,20,20,10,20,30,30,20,30,40,20,30,HIGH(75)
đăng ký vay fe credit,Competitor_FECredit,Vietnam,VI,90,30,40,40,30,20,30,50,50,20,20,20,30,10,10,20,20,20,20,40,30,50,50,70,HIGH(70)
the tín dụng fe credit,Competitor_FECredit,Vietnam,VI,140,40,70,50,30,40,50,40,30,20,10,10,10,20,10,10,10,10,20,10,10,10,10,10,MEDIUM(45)
muốn vay tiền fe,Competitor_FECredit,Vietnam,VI,50,20,20,20,20,20,30,20,30,10,10,20,20,20,30,10,10,30,40,20,10,10,10,10,HIGH(84)
vay tiền nhanh fe credit,Competitor_FECredit,Vietnam,VI,20,20,30,20,20,20,20,20,10,10,10,10,10,10,10,10,10,10,40,50,30,50,20,20,HIGH(81)
vay fe bằng cccd,Competitor_FECredit,Vietnam,VI,40,10,20,20,10,30,30,20,20,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,MEDIUM(62)
vay fe qua sim,Competitor_FECredit,Vietnam,VI,30,10,30,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,10,HIGH(86)
cách vay tiền online fe credit,Competitor_FECredit,Vietnam,VI,10,10,10,10,20,10,20,20,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,HIGH(86)
vay tiền fe credit qua sim viettel,Competitor_FECredit,Vietnam,VI,30,10,10,10,10,10,10,10,10,10,20,10,10,10,10,0,0,0,0,10,10,0,0,0,LOW(4)
cake by vpbank,Competitor_Cake,Vietnam,VI,5400,4400,4400,5400,6600,5400,6600,5400,5400,5400,5400,5400,4400,4400,5400,4400,5400,5400,5400,5400,5400,6600,6600,9900,LOW(12)
ngân hàng cake,Competitor_Cake,Vietnam,VI,2400,1900,2900,2900,2900,2900,3600,2900,2900,2900,2900,4400,3600,2400,2900,2400,2900,2900,2900,2900,2900,2900,2900,3600,LOW(4)
cake vpbank,Competitor_Cake,Vietnam,VI,1300,720,720,720,720,880,1000,1000,880,880,880,880,880,880,720,720,1000,880,880,880,720,720,1000,5400,LOW(12)
vay cake,Competitor_Cake,Vietnam,VI,880,480,590,720,590,1000,1300,1000,880,1000,1000,1000,1000,720,1000,1000,1000,1000,1300,1300,1300,1600,1600,1600,MEDIUM(62)
ngân hàng số cake,Competitor_Cake,Vietnam,VI,880,590,880,880,720,880,1300,1000,880,1000,1000,1000,880,720,720,720,880,720,720,720,720,720,720,720,LOW(11)
thẻ cake,Competitor_Cake,Vietnam,VI,1000,880,1000,880,1000,1000,1000,1000,1000,880,720,880,590,590,720,590,880,720,720,590,590,590,590,590,LOW(11)
cake là của ngân hàng nào,Competitor_Cake,Vietnam,VI,210,170,260,260,320,480,720,590,590,590,720,590,590,260,390,480,590,590,880,590,590,590,590,880,LOW(3)
thẻ tín dụng be cake,Competitor_Cake,Vietnam,VI,590,480,590,480,480,590,880,720,720,480,480,480,390,320,320,170,320,210,210,260,210,210,210,170,LOW(28)
mở thẻ tín dụng cake,Competitor_Cake,Vietnam,VI,590,320,390,480,390,480,590,590,480,480,480,480,390,390,390,320,390,320,260,260,260,320,320,390,MEDIUM(63)
ngân hàng cake by vpbank,Competitor_Cake,Vietnam,VI,210,260,320,390,590,590,590,480,390,480,390,390,480,390,480,390,390,320,260,260,260,260,260,390,LOW(5)
cake của ngân hàng nào,Competitor_Cake,Vietnam,VI,140,90,110,140,170,260,210,210,170,210,260,320,320,320,320,320,390,390,480,720,880,720,590,480,LOW(0)
cake app,Competitor_Cake,Vietnam,VI,320,210,390,260,260,260,390,320,260,390,320,390,170,260,320,260,320,320,390,320,320,320,210,320,LOW(4)
cake application,Competitor_Cake,Vietnam,VI,320,210,390,260,260,260,390,320,260,390,320,390,170,260,320,260,320,320,390,320,320,320,210,320,LOW(4)
cake by vpbank có an toàn không,Competitor_Cake,Vietnam,VI,170,320,70,140,260,320,320,390,320,390,260,320,260,390,320,320,260,320,320,260,260,320,320,320,LOW(0)
vay tiền cake,Competitor_Cake,Vietnam,VI,260,140,170,170,170,260,260,260,260,210,260,260,260,140,210,170,170,210,260,210,210,210,260,210,MEDIUM(65)
vpbank cake,Competitor_Cake,Vietnam,VI,260,170,260,210,260,260,260,210,170,260,170,260,170,210,170,170,260,170,170,170,170,170,170,210,LOW(9)
vay cake bank,Competitor_Cake,Vietnam,VI,40,20,40,70,90,170,260,260,170,260,210,210,260,170,260,210,260,210,260,170,140,210,170,210,MEDIUM(62)
mở thẻ cake,Competitor_Cake,Vietnam,VI,210,140,210,170,170,260,260,320,260,210,170,170,140,170,170,140,170,110,110,110,90,90,110,170,MEDIUM(52)
cake vay,Competitor_Cake,Vietnam,VI,90,110,90,70,90,140,170,140,110,170,170,140,110,140,210,170,210,260,260,210,210,260,320,260,MEDIUM(60)
